Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2024-11-30, ZABKA Z3276 K.1  WARSZAWA 03476 POL ,"-53,76"
2024-12-04, ZABKA Z3276 K.1  WARSZAWA 03476 POL ,"-12,99"
2025-02-09, ZABKA Z3276 K.1  WARSZAWA 03476 POL ,"-22,49"
2024-11-22, ZABKA Z5941 K.1  WARSZAWA 00240 POL ,"-4,5"
2024-11-18, ZABKA Z5967 K.2  WARSZAWA 00681 POL ,"-36,64"
2024-12-09, ZABKA Z5967 K.4  WARSZAWA 00681 POL ,"-3,9"
2024-12-22, ZABKA Z6565 K.1  WARSZAWA 01146 POL ,"-7,99"
2025-01-02, ZABKA Z6565 K.1  WARSZAWA 01146 POL ,"-9,49"
2024-11-18, ZABKA Z6812 K.1  WARSZAWA 00357 POL ,"-3,9"
2024-12-18, ZABKA Z6812 K.1  WARSZAWA 00357 POL ,"-21,89"
2024-11-27, ZABKA Z6812 K.2  WARSZAWA 00357 POL ,"-6,89"
2024-11-29, ZABKA Z6812 K.2  WARSZAWA 00357 POL ,"-3,99"
2024-12-11, ZABKA Z6812 K.2  WARSZAWA 00357 POL ,"-6,99"
2025-01-11, ZABKA Z7131 K.1  WARSZAWA 01106 POL ,"-15,26"
2025-01-10, ZABKA Z7131 K.1  WARSZAWA 01106 POL ,"-24,69"
2025-02-11, ZABKA Z7131 K.2  WARSZAWA 01106 POL ,"-0,6"
2025-02-13, ZABKA Z7131 K.2  WARSZAWA 01106 POL ,"-3,99"
2024-11-24, ZABKA Z7578 K.1  WARSZAWA 05075 POL ,"-1,98"
2024-12-07, ZABKA Z8008 K.1  WARSZAWA 03448 POL ,"-14,99"
2025-01-26, ZABKA Z8008 K.1  WARSZAWA 03448 POL ,"-29,7"
2024-11-29, ZABKA Z8008 K.2  WARSZAWA 03448 POL ,"-10,8"
2025-01-29, ZABKA Z8008 K.2  WARSZAWA 03448 POL ,"-28,49"
2024-11-22, ZARA JUNIOR 3077  WARSZAWA  POL ,"-65,9"
