Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2024-12-02, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,200
2025-01-17, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,-200
2024-12-03, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,99
2024-12-01, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,-200
2024-12-01, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,200
2024-12-30, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,1700
2024-12-30, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,-1700
2024-12-02, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,-200
2024-11-29, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,200
2024-12-03, GARSTECKI JAN KRZYSZTOF KASPROWICZA 6/1 87-100 TORUŃ ,-99
2025-02-02, GLOVO 31JAN WA1JQJ4QY     LODZ ,"-64,32"
2025-01-31, GLOVO 31JAN WA1JQJ4QY  LODZ  POL ,"-62,28"
2024-11-20, GREEN COFFEE  WARSZAWA  POL ,"-24,9"
2024-12-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"35,55"
2025-02-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"36,31"
2025-01-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"35,4"
2025-01-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"-6,73"
2025-02-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"-6,9"
2024-12-01, ING BANK ŚLĄSKI S.A. UL.SOKOLSKA 34 40-086 KATOWICE ,"-6,76"
2024-12-29, IS - MK S.C  TORUN 87100 POL ,"-82,2"
2024-12-18, KAFFE BAGERI STOCKHOLM  WARSZAWA  P ,-15
2024-12-18, KAFFE BAGERI STOCKHOLM  WARSZAWA  P ,-26
